listing_id,high,medium,low
7142618,0.06,0.305,0.635
7210040,0.13,0.27,0.6
7174566,0.015,0.14,0.845
7191391,0.115,0.25,0.635
7171695,0.065,0.18,0.755
7225206,0.035,0.185,0.78
7200075,0.015,0.095,0.89
7145074,0.15,0.34,0.51
7193645,0.03,0.155,0.815
7147703,0.01,0.055,0.935
7182218,0.075,0.165,0.76
7132136,0.01,0.11,0.88
7130670,0.105,0.465,0.43
7151855,0.02,0.105,0.875
7158358,0.01,0.07,0.92
7221001,0.025,0.125,0.85
7100305,0.235,0.28,0.485
7096581,0.085,0.315,0.6
7177904,0.055,0.355,0.59
7122823,0.265,0.375,0.36
7183502,0.02,0.15,0.83
7170627,0.06,0.24,0.7
7154826,0.12,0.36,0.52
7155276,0.0,0.065,0.935
7126641,0.055,0.23,0.715
7096119,0.115,0.22,0.665
7197172,0.11,0.245,0.645
7189973,0.09,0.295,0.615
7123008,0.16,0.355,0.485
7146900,0.035,0.13,0.835
7109717,0.035,0.105,0.86
7129938,0.04,0.125,0.835
7107178,0.01,0.05,0.94
7176321,0.01,0.045,0.945
7128745,0.145,0.295,0.56
7142399,0.07,0.185,0.745
7173397,0.075,0.265,0.66
7097445,0.145,0.295,0.56
7176649,0.035,0.175,0.79
7217973,0.07,0.45,0.48
7181413,0.12,0.45,0.43
7131045,0.025,0.15,0.825
7227600,0.12,0.395,0.485
7152410,0.035,0.205,0.76
7164630,0.155,0.39,0.455
7233385,0.185,0.315,0.5
7132168,0.085,0.405,0.51
7177475,0.015,0.085,0.9
7195866,0.015,0.095,0.89
7128348,0.025,0.11,0.865
7127663,0.105,0.405,0.49
7224803,0.015,0.09,0.895
7175018,0.04,0.2,0.76
7172595,0.08,0.305,0.615
7109912,0.035,0.165,0.8
7138297,0.28,0.41,0.31
7092476,0.1,0.19,0.71
7089303,0.125,0.315,0.56
7125155,0.095,0.375,0.53
7220062,0.025,0.105,0.87
7106449,0.14,0.33,0.53
7128225,0.17,0.37,0.46
7195250,0.005,0.07,0.925
7218672,0.07,0.33,0.6
7196783,0.01,0.13,0.86
7103890,0.005,0.12,0.875
7091781,0.1,0.24,0.66
7188560,0.0,0.01,0.99
7158435,0.09,0.245,0.665
7174040,0.115,0.4,0.485
7090560,0.125,0.225,0.65
7176342,0.035,0.155,0.81
7192962,0.09,0.415,0.495
7097397,0.005,0.14,0.855
7145866,0.005,0.135,0.86
7206754,0.035,0.115,0.85
7138175,0.15,0.275,0.575
7149594,0.0,0.025,0.975
7156633,0.05,0.185,0.765
7105345,0.15,0.405,0.445
7213632,0.105,0.305,0.59
7183113,0.02,0.075,0.905
7140000,0.095,0.23,0.675
7195613,0.03,0.28,0.69
7105115,0.07,0.34,0.59
7160348,0.025,0.15,0.825
7160614,0.0,0.03,0.97
7092337,0.05,0.335,0.615
7147336,0.005,0.075,0.92
7218407,0.005,0.045,0.95
7153777,0.125,0.315,0.56
7105692,0.09,0.31,0.6
7182783,0.075,0.235,0.69
7175581,0.045,0.16,0.795
7178664,0.125,0.345,0.53
7211063,0.19,0.395,0.415
7224728,0.065,0.325,0.61
7102627,0.085,0.385,0.53
7092248,0.105,0.36,0.535
7207732,0.16,0.385,0.455
7103067,0.035,0.235,0.73
7229817,0.045,0.135,0.82
7172753,0.075,0.29,0.635
7125988,0.025,0.14,0.835
7091708,0.005,0.035,0.96
7120982,0.16,0.365,0.475
7200404,0.025,0.17,0.805
7134396,0.035,0.205,0.76
7094055,0.19,0.31,0.5
7220352,0.02,0.16,0.82
7097260,0.01,0.2,0.79
7132074,0.03,0.115,0.855
7195758,0.02,0.095,0.885
7218227,0.01,0.09,0.9
7191025,0.0,0.045,0.955
7152268,0.315,0.325,0.36
7210298,0.085,0.395,0.52
7096221,0.05,0.14,0.81
7137429,0.035,0.135,0.83
7141582,0.33,0.3,0.37
7125014,0.285,0.33,0.385
7204283,0.045,0.255,0.7
7129195,0.025,0.145,0.83
7208151,0.035,0.095,0.87
7169433,0.29,0.315,0.395
7194385,0.04,0.13,0.83
7184378,0.085,0.25,0.665
7112430,0.21,0.345,0.445
7224419,0.065,0.295,0.64
7176557,0.03,0.15,0.82
7185501,0.035,0.105,0.86
7205296,0.11,0.34,0.55
7143873,0.01,0.04,0.95
7227106,0.15,0.32,0.53
7143808,0.325,0.34,0.335
7123007,0.27,0.33,0.4
7120025,0.13,0.285,0.585
7095934,0.16,0.365,0.475
7102526,0.04,0.165,0.795
7149561,0.02,0.1,0.88
7147321,0.285,0.305,0.41
7163675,0.02,0.16,0.82
7203197,0.01,0.06,0.93
7192159,0.035,0.16,0.805
7124635,0.06,0.34,0.6
7138513,0.04,0.215,0.745
7116744,0.135,0.315,0.55
7228168,0.02,0.085,0.895
7156739,0.17,0.4,0.43
7233157,0.065,0.255,0.68
7091879,0.115,0.3,0.585
7145151,0.15,0.37,0.48
7230883,0.02,0.105,0.875
7188256,0.28,0.34,0.38
7203095,0.025,0.135,0.84
7142105,0.07,0.24,0.69
7210546,0.085,0.34,0.575
7134026,0.185,0.47,0.345
7119521,0.04,0.17,0.79
7225812,0.085,0.355,0.56
7231536,0.07,0.315,0.615
7120399,0.005,0.075,0.92
7209940,0.03,0.225,0.745
7125730,0.085,0.225,0.69
7129665,0.0,0.085,0.915
7156628,0.07,0.3,0.63
7154533,0.025,0.15,0.825
7194011,0.07,0.205,0.725
7159573,0.04,0.16,0.8
7122632,0.02,0.105,0.875
7199902,0.02,0.085,0.895
7204514,0.055,0.31,0.635
7114559,0.05,0.21,0.74
7172574,0.055,0.295,0.65
7190848,0.05,0.165,0.785
7127320,0.08,0.355,0.565
7099989,0.05,0.24,0.71
7193209,0.075,0.36,0.565
7163387,0.22,0.36,0.42
7192322,0.045,0.135,0.82
7181284,0.0,0.045,0.955
7138658,0.055,0.29,0.655
7094836,0.155,0.32,0.525
7228347,0.02,0.16,0.82
7092957,0.15,0.44,0.41
7095106,0.155,0.375,0.47
7118353,0.005,0.035,0.96
7187196,0.005,0.045,0.95
7171952,0.19,0.415,0.395
7109967,0.015,0.135,0.85
7121401,0.11,0.235,0.655
7117926,0.19,0.36,0.45
7149587,0.005,0.045,0.95
7153700,0.02,0.05,0.93
7128436,0.04,0.14,0.82
7156683,0.045,0.135,0.82
7183547,0.0,0.07,0.93
7130682,0.09,0.29,0.62
7191787,0.04,0.16,0.8
7201129,0.02,0.175,0.805
7131018,0.06,0.15,0.79
7191519,0.015,0.075,0.91
